LCA_CASE_EMPLOYMENT_START_DATE,LCA_CASE_EMPLOYMENT_END_DATE,LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_ADDRESS,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_EMPLOYER_POSTAL_CODE,LCA_CASE_SOC_CODE,LCA_CASE_SOC_NAME,LCA_CASE_JOB_TITLE,LCA_CASE_WAGE_RATE_FROM,LCA_CASE_WAGE_RATE_TO,LCA_CASE_WAGE_RATE_UNIT,FULL_TIME_POS,TOTAL_WORKERS,LCA_CASE_WORKLOC1_CITY,LCA_CASE_WORKLOC1_STATE,PW_1,PW_UNIT_1,PW_SOURCE_1,OTHER_WAGE_SOURCE_1,YR_SOURCE_PUB_1
12/1/11,11/30/14,JAMES HARDIE BUILDING PRODUCTS INC.,"26300 LA ALAMEDA, SUITE 400",MISSION VIEJO,CA,92691,17-2112,Industrial Engineers,INDUSTRIAL SYSTEMS ENGINEER,55016,NA,Year,Y,1,PULASKI,VA,55016,Year,Other,OFLC ONLINE DATA CENTER,2011
12/5/11,12/5/14,GLOBALFOUNDRIES U.S. INC.,840 N. MCCARTHY BLVD.,MILPITAS,CA,95035,17-2072,"Electronics Engineers, Except Computer",MTS QUALITY ENGINEER,83000,145500,Year,Y,1,MALTA,NY,82243,Year,OES,OFLC ONLINE DATA CENTER,2011
11/7/11,11/7/14,"ADVANCED MICRO DEVICES, INC.","ONE AMD PLACE, M/S 68",SUNNYVALE,CA,94088,17-2072,"Electronics Engineers, Except Computer",DESIGN ENGINEER 2,74464,107250,Year,Y,1,AUSTIN,TX,74464,Year,OES,OFLC ONLINE DATA CENTER,2011
12/12/11,12/11/14,GOOGLE INC.,1600 AMPHITHEATRE PARKWAY,MOUNTAIN VIEW,CA,94043,15-1132,"Software Developers, Applications",SOFTWARE ENGINEER,127000,NA,Year,Y,1,KIRKLAND,WA,96720,Year,OES,OFLC ONLINE DATA CENTER,2011
10/1/11,9/30/14,"MED-IMPACT HEALTH CARE SYSTEMS, INC.",10680 TREENA STREET,SAN DIEGO,CA,92131,15-1133,"Software Developers, Systems Software",SOFTWARE QA ENGINEER IV,100500,NA,Year,Y,1,SAN DIEGO,CA,98654,Year,OES,OFLC ONLINE DATA CENTER,2011
9/27/11,9/25/14,"AMYLIN PHARMACEUTICALS, INC.",9360 TOWNE CENTRE DRIVE,SAN DIEGO,CA,92121,15-1121,Computer Systems Analysts,SENIOR ANALYST GLOBAL SAFETY,72000,NA,Year,Y,1,SAN DIEGO,CA,70034,Year,OES,OFLC ONLINE DATA SURVEY,2011
11/7/11,11/7/14,"ADVANCED MICRO DEVICES, INC.","ONE AMD PLACE, M/S 68",SUNNYVALE,CA,94088,17-2072,"Electronics Engineers, Except Computer",SENIOR DESIGN ENGINEER,77600,126100,Year,Y,1,AUSTIN,TX,74464,Year,OES,OFLC ONLINE DATA CETNER,2011
10/5/11,9/30/14,"FLEXTRONICS INTERNATIONAL USA, INC.",847 GIBRALTAR DRIVE,MILPITAS,CA,95035,15-1121,Computer Systems Analysts,BUSINESS SYSTEMS ANALYST,38.8,40.86,Hour,Y,1,AUSTIN,TX,38.8,Hour,OES,OFLC ONLINE DATA CENTER,2011
10/31/11,10/30/14,DREAMWORKS ANIMATION LLC,1000 FLOWER ST.,GLENDALE,CA,91201,27-1014,Multimedia Artists and Animators,VISUAL DEVELOPMENT ARTIST,41.96,NA,Hour,Y,1,GLENDALE,CA,39.02,Hour,CBA,COLLECTIVE BARGAINING AGREEMENT,2010
10/5/11,10/4/14,"FLEXTRONICS INTERNATIONAL USA, INC.","847 GIBRALTAR AVENUE, BLDG. 5",MILPITAS,CA,95035,17-2112,Industrial Engineers,LEAN ENGINEER,32.98,NA,Hour,Y,1,MILPITAS,CA,32.98,Hour,OES,OFLC ONLINE DATA CENTER,2011
11/1/11,8/31/12,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO","1675 OWENS STREET, CC-290",SAN FRANCISCO,CA,94143,19-1021,Biochemists and Biophysicists,ASSOCIATE SPECIALIST,52354,NA,Year,Y,1,SAN FRANCISCO,CA,52354,Year,OES,OFLC ONLINE DATA CENTER,2011
10/1/11,10/1/14,"HCL AMERICA, INC.",330 POTRERO AVENUE,SUNNYVALE,CA,94085,15-1121,Computer Systems Analysts,SYSTEMS ANALYST,56909,87000,Year,Y,1,PORTLAND,OR,56909,Year,Other,OFLC ONLINE DATACENTER,2011
10/14/11,10/13/14,QUALCOMM INCORPORATED,5775 MOREHOUSE DRIVE,SAN DIEGO,CA,92121,15-1133,"Software Developers, Systems Software",SOFTWARE ENGINEER,83595,95520,Year,Y,1,SAN DIEGO,CA,83595,Year,OES,OFLC ONLINE DATA CENTER,2011
10/1/11,10/1/14,QLOGIC CORPORATION,26650 ALISO VIEJO PARKWAY,ALISO VIEJO,CA,92656,17-2071,Electrical Engineers,ENGINEER,80017.6,NA,Year,Y,1,MOUNTAIN VIEW,CA,74027,Year,OES,OFLC ONLINE DATA CENTER,2011
10/12/11,10/11/14,QUALCOMM INCORPORATED,5775 MOREHOUSE DRIVE,SAN DIEGO,CA,92121,15-1133,"Software Developers, Systems Software",SOFTWARE ENGINEER,83595,95380,Year,Y,1,SAN DIEGO,CA,83595,Year,OES,OFLC ONLINE DATA CENTER,2011
10/15/11,10/14/14,"VENDOR DIRECT SOLUTIONS, LLC","515 S. FIGUEROA ST., STE. 1900",LOS ANGELES,CA,90071,15-1133,"Software Developers, Systems Software",SYSTEMS DEVELOPER,70000,NA,Year,Y,1,LOS ANGELES,CA,69014,Year,Other,OFLC ONLINE DATA CENTER,2011
11/7/11,11/7/14,GLOBALFOUNDRIES U.S. INC.,840 N. MCCARTHY BLVD.,MILPITAS,CA,95035,17-2072,"Electronics Engineers, Except Computer",FAILURE/DEVICE ANALYSIS ENGINEER 2,71573,93000,Year,Y,1,MALTA,NY,71573,Year,OES,OFLC ONLINE DATA CENTER,2011
